################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.0375448478775587E-02 a         1     0     1     1     1
  1.2464328457254414E-01 a         2     0     1     1     2
 -1.5301732834137327E-01 a         3     0     1     1     3
  3.1085224732884648E-01 a         4     0     1     1     4
  3.7447343118424004E-01 a         5     0     1     1     5
  1.3241018615536171E-01 a         6     0     1     1     6
  8.4657514795681080E-02 a         7     0     1     1     7
  1.7761333071362126E-01 a         8     0     1     1     8
  2.1620874840534163E-01 a         9     0     1     1     9
  2.9950978402397306E-02 a        10     0     1     1    10
  2.0727938122216785E-01 a        11     0     2     1     1
  3.1442152859878258E-01 a        12     0     2     1     2
 -2.1835587619190980E-01 a        13     0     2     1     3
 -1.4921974517918322E-02 a        14     0     2     1     4
  3.2347640410847139E-01 a        15     0     2     1     5
  2.5433451091832254E-01 a        16     0     2     1     6
 -1.5533228300752652E-01 a        17     0     2     1     7
  1.7632032821723606E-01 a        18     0     2     1     8
  2.5762733182401426E-01 a        19     0     2     1     9
  3.8133537931128286E-01 a        20     0     2     1    10
 -2.4322279001875746E-01 a        21     0     3     1     1
 -3.9222004954488104E-01 a        22     0     3     1     2
  1.3149557239917509E-02 a        23     0     3     1     3
 -1.6605597764314639E-01 a        24     0     3     1     4
 -5.4319114123144316E-02 a        25     0     3     1     5
  1.8032840539735961E-01 a        26     0     3     1     6
  1.4926395384350280E-01 a        27     0     3     1     7
  1.3289399376381147E-01 a        28     0     3     1     8
 -1.5179986702430284E-01 a        29     0     3     1     9
 -6.7359157651598722E-02 a        30     0     3     1    10
  9.3053549094756424E-02 a        31     0     4     1     1
 -1.3322929019203406E-01 a        32     0     4     1     2
  1.0775345831231373E-01 a        33     0     4     1     3
 -6.8297895791248425E-02 a        34     0     4     1     4
 -1.0047109350364841E-01 a        35     0     4     1     5
  1.4758411856473441E-01 a        36     0     4     1     6
