################################################################################
# Statistics for individual neurons gathered during RMSE calculation.
################################################################################
# Col  Name    Description
################################################################################
# 1    element Element index.
# 2    neuron  Neuron number.
# 3    count   Number of neuron value computations.
# 4    min     Minimum neuron value encounterd.
# 5    max     Maximum neuron value encounterd.
# 6    mean    Mean neuron value.
# 7    sigma   Standard deviation of neuron value.
####################################################################################################
#        1          2          3                4                5                6                7
#  element     neuron      count              min              max             mean            sigma
####################################################################################################
         1          1       1376   1.32216936E+00   2.64318293E+00   2.17121093E+00   1.84917409E-01
         1          2       1376   8.81655076E-01   1.50215131E+00   1.27781226E+00   9.26105248E-02
         1          3       1376   9.50631705E-01   1.96454346E+00   1.57545552E+00   1.47885923E-01
         1          4       1376   6.87209264E-01   1.17345967E+00   9.80136692E-01   7.38421593E-02
         1          5       1376   5.31146803E-01   1.17351048E+00   8.69039188E-01   9.79650572E-02
         1          6       1376   4.54468031E-01   7.72088086E-01   6.28746752E-01   4.96138864E-02
         1          7       1376   2.77329171E-01   6.56106896E-01   4.36327189E-01   5.98427398E-02
         1          8       1376   3.02481211E-01   5.02623433E-01   4.12966461E-01   3.36059917E-02
         1          9       1376   2.70917640E-01   4.37718673E-01   3.55322622E-01   3.08375508E-02
         1         10       1376   3.06078105E-01   8.27372950E-01   5.13678468E-01   8.23963459E-02
         1         11       1376   1.67814816E-01   3.32625445E-01   2.64058779E-01   2.00797735E-02
         1         12       1376   1.51998999E-01   5.17584033E-01   2.82168765E-01   5.30306993E-02
         1         13       1376   7.99642132E-02   2.78109857E-01   1.83234120E-01   2.02569089E-02
         1         14       1376   5.00225596E-02   3.12515526E-01   1.45324389E-01   3.54089763E-02
         1         15       1376   1.09727590E-02   1.97804034E-01   7.57431255E-02   2.03680839E-02
         1         16       1376   4.05648192E-03   2.00209155E-01   4.55533349E-02   2.68166529E-02
         1         17       1376   1.63924094E-03   2.95170201E-02   1.62797592E-02   5.17200473E-03
         1         18       1376   5.90647083E-03   2.98819949E-02   1.88936352E-02   3.49967225E-03
         1         19       1376   1.81531637E-03   3.23404406E-02   1.52513964E-02   4.99760789E-03
         1         20       1376   7.72188516E-02   1.91643134E-01   1.30797406E-01   1.80471760E-02
         1         21       1376   6.40079738E-03   3.43522708E-02   1.60088392E-02   4.49850793E-03
         1         22       1376   7.19194756E-04   1.13946448E-02   5.52432727E-03   2.11126009E-03
         1         23       1376   4.61834614E-02   1.18426695E-01   7.36727109E-02   1.11400038E-02
         1         24       1376   9.14338465E-04   7.24480792E-03   3.47086601E-03   1.00419873E-03
         1         25       1376   1.12128239E-03   7.49098489E-03   3.34135787E-03   9.56942518E-04
         1         26       1376   1.44907330E-02   3.48961697E-02   2.25935556E-02   3.21858206E-03
         1         27       1376   6.29622669E-04   5.18144782E-03   2.00220001E-03   6.13758379E-04
         1         28       1376   2.43275667E-01   6.53710662E-01   4.98079839E-01   5.70630727E-02
         1         29       1376   1.57343287E-01   3.44743986E-01   2.64804802E-01   2.40660672E-02
         1         30       1376  -1.12927465E+00  -6.12494680E-01  -9.49353242E-01   7.18004889E-02
         1         31       1376  -2.61934996E-01  -1.40738076E-01  -1.96150127E-01   1.55978151E-02
         1         32       1376   1.05553636E-02   1.27492720E-01   6.87521766E-02   1.90659671E-02
         1         33       1376  -1.69239810E+00  -8.07857133E-01  -1.34072748E+00   1.26990847E-01
         1         34       1376  -1.61883350E-01   1.21118537E-02  -7.31621234E-02   2.42253113E-02
         1         35       1376   4.31510617E-01   7.97468180E-01   6.62467234E-01   5.13081431E-02
         1         36       1376   6.59724308E-01   1.37343702E+00   1.07830119E+00   1.03156915E-01
         1         37       1376  -3.22100640E-02   2.08329375E-01   9.64184314E-02   3.72011341E-02
         1         38       1376   5.26803932E-02   2.37866302E-01   1.40494536E-01   2.78278019E-02
